Frequency (Hz),Magnitude (db)
0.0,9.643274665532866e-15
1.0,-45.97740443630393
2.0,-45.97843319583842
3.0,-45.98014791241208
4.0,-45.9825487621072
5.0,-45.98563599155505
6.0,-45.98940991805221
7.0,-45.99387092971013
8.0,-45.999019485638414
9.0,-46.00485611616186
10.0,-46.01138142307136
11.0,-46.018596079909244
12.0,-46.02650083228901
13.0,-46.03509649825003
14.0,-46.0443839686475
15.0,-46.05436420757806
16.0,-46.06503825284153
17.0,-46.076407216439236
18.0,-46.088472285109525
19.0,-46.101234720900955
20.0,-46.114695861783844
21.0,-46.12885712230076
22.0,-46.143719994256756
23.0,-46.15928604744998
24.0,-46.175556930443626
25.0,-46.19253437137984
26.0,-46.21022017883676
27.0,-46.22861624272933
28.0,-46.247724535255216
29.0,-46.26754711188659
30.0,-46.288086112409175
31.0,-46.30934376200947
32.0,-46.33132237241162
33.0,-46.35402434306513
34.0,-46.377452162384785
35.0,-46.40160840904437
36.0,-46.42649575332551
37.0,-46.452116958523355
38.0,-46.47847488241088
39.0,-46.50557247876334
40.0,-46.533412798944916
41.0,-46.56199899355951
42.0,-46.59133431416758
43.0,-46.62142211507134
44.0,-46.652265855170434
45.0,-46.683869099890636
46.0,-46.71623552318776
47.0,-46.74936890962979
48.0,-46.7832731565595
49.0,-46.81795227634091
50.0,-46.853410398692176
51.0,-46.88965177310833
52.0,-46.9266807713771
53.0,-46.964501890191315
54.0,-47.00311975386149
55.0,-47.04253911713255
56.0,-47.08276486810859
57.0,-47.12380203129002
58.0,-47.165655770727525
59.0,-47.208331393297385
60.0,-47.251834352103344
61.0,-47.296170250009915
62.0,-47.34134484331277
63.0,-47.38736404555178
64.0,-47.43423393147292
65.0,-47.48196074114513
66.0,-47.53055088423906
67.0,-47.580010944474516
68.0,-47.63034768424414
69.0,-47.681568049421145
70.0,-47.73367917435918
71.0,-47.786688387093236
72.0,-47.840603214750544
73.0,-47.89543138918123
74.0,-47.95118085281893
75.0,-48.00785976478207
76.0,-48.06547650722737
77.0,-48.124039691967376
78.0,-48.183558167364914
79.0,-48.244041025517895
80.0,-48.30549760974871
81.0,-48.36793752241331
