Frequency (Hz),Magnitude (db)
0.0,-321.8384151098802
1.0,-325.0395890812165
2.0,-326.23773190700103
3.0,-324.07659502712806
4.0,-321.06939905105867
5.0,-321.4287992718371
6.0,-323.42913265395157
7.0,-326.3245751715962
8.0,-326.2171559480282
9.0,-324.22318110639543
10.0,-325.8466341492945
11.0,-324.13571807852986
12.0,-324.3398668409336
13.0,-323.54003915145836
14.0,-324.4753445519806
15.0,-325.8032269336264
16.0,-324.7532869211994
17.0,-324.32911257768126
18.0,-325.8310225693764
19.0,-320.29718018569906
20.0,-318.5505061190129
21.0,-320.8928789159909
22.0,-324.7444275319169
23.0,-322.1776673481518
24.0,-324.47440164067086
25.0,-324.8238820516935
26.0,-323.7556138696401
27.0,-323.2623508941691
28.0,-324.1691627405732
29.0,-324.15975756647526
30.0,-326.2784936709849
31.0,-322.72604252337464
32.0,-323.8711965673374
33.0,-322.80865674501376
34.0,-323.21234850156134
35.0,-323.99595780612117
36.0,-324.14656176055587
37.0,-323.01899076288214
38.0,-322.1897494803904
39.0,-321.89065540415464
40.0,-323.38042012983266
41.0,-324.40605510363855
42.0,-324.88024706937847
43.0,-323.4892798138894
44.0,-323.389981563146
45.0,-321.1152318135212
46.0,-322.5050055870439
47.0,-320.3103745880591
48.0,-322.69474975819696
49.0,-315.2609183930087
50.0,-314.59820438836937
51.0,-323.14339711962083
52.0,-322.5857014697579
53.0,-324.7357601938276
54.0,-321.33708804606977
55.0,-321.9522341421757
56.0,-322.1778686724039
57.0,-325.61133417743645
58.0,-320.69852093877813
59.0,-320.629607667486
60.0,-322.03441021774523
61.0,-319.8596176971553
62.0,-320.50016155107977
63.0,-323.6774956497581
64.0,-320.15988574089545
65.0,-320.9290329994092
66.0,-319.65147513418793
67.0,-319.5391709562609
68.0,-319.2733037134708
69.0,-318.9979821684411
70.0,-318.22401285337725
71.0,-319.15475690196
72.0,-318.29201476534564
73.0,-319.94817398349016
74.0,-320.27679549348534
75.0,-317.04627053918193
76.0,-317.50237482486824
77.0,-317.23150299350715
78.0,-319.1778952192816
79.0,-317.6506591412113
80.0,-316.0664608390451
81.0,-315.4682162666152
82.0,-314.779412593827
83.0,-316.3857632046549
84.0,-320.6634881096673
85.0,-318.7595451588692
86.0,-313.55532956219565
87.0,-310.6911322890903
88.0,-308.6597125083994
89.0,-309.0715559826849
90.0,-308.59056381675276
91.0,-308.9115907995939
92.0,-308.7121423214394
93.0,-307.3283016484863
94.0,-306.0048037684188
95.0,-304.35117953407627
96.0,-303.01200453806996
97.0,-300.6243385232944
98.0,-297.281346383959
99.0,-291.1512825582261
100.0,0.0
101.0,-291.2431550216463
102.0,-296.95946237577834
103.0,-300.3314075248302
104.0,-302.6652424609498
105.0,-304.75247019153346
106.0,-306.3254096522526
107.0,-307.4213098609767
108.0,-308.18430595059186
109.0,-309.3853185219435
110.0,-310.0827764337095
111.0,-311.01779650816485
112.0,-311.27950654594554
113.0,-311.0828311779425
114.0,-311.63048556574836
115.0,-311.63051411004267
116.0,-313.099462134493
117.0,-312.917159180788
118.0,-313.383865770065
119.0,-314.14547345202243
120.0,-314.72753187205376
121.0,-314.76994330123694
122.0,-316.31076954122864
123.0,-315.66525543139323
124.0,-315.49214840557886
125.0,-314.1734411825263
126.0,-315.42173268777225
127.0,-316.59403383269046
128.0,-315.7177088769057
129.0,-317.2017199622798
130.0,-316.84588560578186
131.0,-317.33644369919676
132.0,-315.85743882721357
133.0,-317.83271068265157
134.0,-317.901459261941
135.0,-318.18825469924735
136.0,-316.9678012430398
137.0,-318.18204049052616
138.0,-318.87519695742185
139.0,-319.68576251664496
140.0,-315.53606384177914
141.0,-320.1312353789666
142.0,-317.772239420561
143.0,-320.2523948889064
144.0,-318.5253542445852
145.0,-321.1397768982872
146.0,-317.01411882664496
147.0,-318.49381312821134
148.0,-319.7032621520749
149.0,-318.18534519502515
150.0,-318.54447947522823
151.0,-319.09691775110923
152.0,-318.40425223316475
153.0,-318.2016724002636
154.0,-317.077970317035
155.0,-318.62974472543567
156.0,-318.0455189341744
157.0,-321.68763964816895
158.0,-320.9774934968415
159.0,-321.5578353276751
160.0,-321.1750320139975
161.0,-320.5951293865707
162.0,-319.77626000209443
163.0,-320.6183304631322
164.0,-321.29366490554185
165.0,-323.42676193936063
166.0,-320.59804179074007
167.0,-320.4523804969408
168.0,-320.63164518048296
169.0,-319.3870290014686
170.0,-320.13917140511194
171.0,-322.1942403684431
172.0,-323.03443636264234
173.0,-319.20949530362293
174.0,-317.8328062080818
175.0,-318.2373429969488
176.0,-316.4988286809394
177.0,-321.76556025741525
178.0,-317.51967143270116
179.0,-320.8722828122333
180.0,-323.18839594086427
181.0,-325.2650046925809
182.0,-319.3435682649945
183.0,-319.3231265084745
184.0,-320.8307829949657
185.0,-320.0795484694048
186.0,-325.2860435251687
187.0,-323.6623872336671
188.0,-321.7734529730862
189.0,-321.0992807379075
190.0,-321.98897246273305
191.0,-323.1904716261405
192.0,-321.95218338517384
193.0,-321.27083064264554
194.0,-325.27325108221277
195.0,-321.6510831151753
196.0,-318.0066991885588
197.0,-320.47176064710067
198.0,-325.0807936318513
199.0,-319.1264661403935
200.0,-318.7712721685682
201.0,-320.9857341653533
202.0,-318.83522025859986
203.0,-321.8501394547954
204.0,-326.5118382753309
205.0,-322.91360692406056
206.0,-319.3327678974627
207.0,-320.6694062532932
208.0,-321.0669225136175
209.0,-324.13521246537834
210.0,-321.21979338164874
211.0,-322.9541270019281
212.0,-322.8422733463077
213.0,-320.9913659717181
214.0,-319.82107281535195
215.0,-321.0070688828859
216.0,-321.92545119702635
217.0,-319.8538737033089
218.0,-321.6858785119531
219.0,-322.46164604175476
220.0,-319.8898856700796
221.0,-323.05646013359774
222.0,-320.7256778862843
223.0,-321.02286416532377
224.0,-322.3949255630381
225.0,-322.73628266114645
226.0,-320.2055932989288
227.0,-319.51109403680755
228.0,-317.47199959417543
229.0,-321.4519689226358
230.0,-322.7368051972278
231.0,-320.32757497889355
232.0,-315.1368133555359
233.0,-313.2632234602032
234.0,-312.52469390173326
235.0,-312.27110796025426
236.0,-312.9265216334585
237.0,-313.7805432642848
238.0,-316.5134316457855
239.0,-318.72509386896814
240.0,-322.9575622060208
241.0,-322.28143018069375
242.0,-323.05888404230393
243.0,-321.07261542774387
244.0,-323.740693409822
245.0,-324.91587634960007
246.0,-320.92483660419623
247.0,-323.2528723978654
248.0,-324.71924875566657
249.0,-315.97679123268284
250.0,-314.280566122928
251.0,-318.0233349795452
252.0,-321.33802324407105
253.0,-323.85046335522213
254.0,-323.21321283758596
255.0,-322.071117152994
256.0,-319.2235349318669
257.0,-316.5106510055732
258.0,-323.8242911898054
259.0,-318.61920247353584
260.0,-319.8883926490489
261.0,-322.5721428665029
262.0,-324.9126780325835
263.0,-319.8553951624059
264.0,-320.5836226836883
265.0,-323.44286357454666
266.0,-318.72742058399064
267.0,-320.96587935544557
268.0,-319.4453878012631
269.0,-317.51219049351346
270.0,-318.4371901828824
271.0,-321.75434242471044
272.0,-321.7964339083385
273.0,-315.0779177378746
274.0,-317.14709435557705
275.0,-319.5943120565054
276.0,-320.9687518935854
277.0,-318.48337922567714
278.0,-322.54015743536127
279.0,-318.4872726637338
280.0,-325.7427825697625
281.0,-320.2710091750564
282.0,-317.5853142938735
283.0,-313.8616600180699
284.0,-311.86515410902194
285.0,-311.3480112903287
286.0,-311.2900483847728
287.0,-312.54239686005866
288.0,-313.3594609525385
289.0,-318.46573148826775
290.0,-318.58597469462035
291.0,-323.2367644840533
292.0,-324.8542440338209
293.0,-326.83097911646115
294.0,-325.45281155094506
295.0,-327.0925037781757
296.0,-320.4711068281321
297.0,-321.2599811810288
298.0,-314.9316989890873
299.0,-314.26017729159025
300.0,-321.2483983000431
301.0,-323.76779138638494
302.0,-321.43987406036786
303.0,-321.66018740572747
304.0,-322.82466534248493
305.0,-325.7023025963143
306.0,-326.32796131979035
307.0,-325.03436700917746
308.0,-322.90867520540235
309.0,-324.53922437595463
310.0,-323.9209306791538
311.0,-325.55874134997083
312.0,-323.5224456954494
313.0,-322.38749239262035
314.0,-322.62869903500405
315.0,-321.03120081162194
316.0,-325.03160614280443
317.0,-323.36338426705476
318.0,-323.94211275522713
319.0,-323.14132282561616
320.0,-325.61430894843005
321.0,-323.32906821670827
322.0,-324.88009217547983
323.0,-324.3066187041668
324.0,-321.7471503473806
325.0,-322.41190173455885
326.0,-322.9646730110718
327.0,-324.18687453262714
328.0,-322.4719543415338
329.0,-325.2894735174541
330.0,-322.4230909187072
331.0,-325.52363875409924
332.0,-323.9835864310195
333.0,-325.40129503532404
334.0,-324.25509813599376
335.0,-322.9834017315368
336.0,-320.7670515012825
337.0,-321.3987977229613
338.0,-325.23316528804514
339.0,-322.6431462458794
340.0,-319.43969298972763
341.0,-325.67180305623924
342.0,-321.1953319453278
343.0,-324.5170610507871
344.0,-321.33388742589483
345.0,-326.336752843113
346.0,-322.0248583188596
347.0,-324.4875539375244
348.0,-323.58276352450815
349.0,-325.2980655294633
350.0,-322.63798556937365
