Time (s),Amplitude
0.0,0.0
2.0833333333333333e-05,0.013089500585730999
4.1666666666666665e-05,0.026177584724915517
6.25e-05,0.03926059504853949
8.333333333333333e-05,0.05233522099090011
0.00010416666666666666,0.06540135446895937
0.000125,0.07845909623132366
0.00014583333333333332,0.09150410341474276
0.00016666666666666666,0.10452993235072879
0.0001875,0.11753505913854181
0.00020833333333333332,0.13052301209335487
0.00022916666666666666,0.14349366815444403
0.00025,0.15643886922719727
0.0002708333333333333,0.16935073716020643
0.00029166666666666664,0.18223107903298907
0.0003125,0.19508643564124267
0.0003333333333333333,0.20791462221291931
0.00035416666666666664,0.2207034453456369
0.000375,0.2334453623488513
0.0003958333333333333,0.24614658461624694
0.00041666666666666664,0.2588153944724781
0.0004375,0.27144586941323096
0.0004583333333333333,0.2840222893363633
0.00047916666666666664,0.2965394051864126
0.0005,0.30900826311051166
0.0005208333333333333,0.3214371159471809
0.0005416666666666666,0.33381503331140266
0.0005625,0.34612397688702984
0.0005833333333333333,0.3583628786136103
0.0006041666666666667,0.37054730961647747
0.000625,0.38268343485047857
0.0006458333333333333,0.39475465313907937
0.0006666666666666666,0.4067424007682141
0.0006875,0.4186513484590975
0.0007083333333333333,0.4305005321298082
0.0007291666666666666,0.44229193812614487
0.00075,0.454003373540361
0.0007708333333333333,0.4656179357190594
0.0007916666666666666,0.47714703365140126
0.0008125,0.4886114373586539
0.0008333333333333333,0.5000071006077856
0.0008541666666666666,0.5113071109927766
0.000875,0.5224985613020044
0.0008958333333333333,0.533599868095083
0.0009166666666666666,0.5446312973259582
0.0009375,0.5555814057764028
0.0009583333333333333,0.5664201867325432
0.0009791666666666666,0.577140936478175
0.001,0.5877685241492712
0.0010208333333333332,0.5983201958376025
0.0010416666666666667,0.608776444047082
0.0010624999999999999,0.619106416350761
0.0010833333333333333,0.6293114215538279
0.0011041666666666667,0.6394213984405398
0.001125,0.6494480525992956
0.0011458333333333333,0.6593639798717464
0.0011666666666666665,0.6691401471535632
0.0011875,0.6787870450519631
0.0012083333333333334,0.6883375609873505
0.0012291666666666666,0.697795621221715
0.00125,0.7071269781877539
0.0012708333333333332,0.7163072358057638
0.0012916666666666667,0.7253564147831667
0.0013124999999999999,0.7343076682973011
0.0013333333333333333,0.7431554557456753
0.0013541666666666667,0.7518605805434613
0.001375,0.7604059605711728
0.0013958333333333333,0.7688205737591349
0.0014166666666666666,0.777134840268216
0.0014375,0.7853328388377846
0.0014583333333333332,0.7933730216369741
0.0014791666666666666,0.801247864455353
0.0015,0.808993802482253
0.0015208333333333332,0.8166354994871665
0.0015416666666666667,0.8241466636302499
0.0015624999999999999,0.8314864779931255
0.0015833333333333333,0.8386585275561175
0.0016041666666666667,0.8457043694784565
0.001625,0.8526401700272354
0.0016458333333333333,0.8594302604573579
0.0016666666666666666,0.8660378419989299
0.0016875,0.8724782687448869
0.0017083333333333332,0.878795231702716
0.0017291666666666666,0.8849942312719074
0.00175,0.8910321595784729
0.0017708333333333332,0.8968794163867865
0.0017916666666666667,0.9025627782676946
0.0018124999999999999,0.908124685682358
0.0018333333333333333,0.9135586208430688
0.0018541666666666665,0.9188167814198094
0.001875,0.9238795263266445
0.0018958333333333334,0.9287836838346566
0.0019166666666666666,0.9335669690777271
0.0019375,0.9382104795521203
0.001958333333333333,0.9426650468983867
0.0019791666666666664,0.9469230483737704
0.002,0.9510290531844576
0.0020208333333333332,0.9550128108835017
0.0020416666666666665,0.9588437305866299
0.0020625,0.9624749019348231
0.0020833333333333333,0.965911857422042
0.0021041666666666665,0.9692038359427866
0.0021249999999999997,0.9723699269466863
0.0021458333333333334,0.9753695849961181
0.0021666666666666666,0.9781617521842076
0.0021874999999999998,0.9807651943638204
0.0022083333333333334,0.9832302468876373
0.0022291666666666666,0.9855634560349259
0.00225,0.9877169659947022
0.0022708333333333335,0.9896588061477473
0.0022916666666666667,0.9914199582184436
0.0023125,0.993048091590895
0.002333333333333333,0.9945363305317426
0.0023541666666666667,0.9958328456474228
0.002375,0.9969173269776193
0.002395833333333333,0.9978309269810719
0.002416666666666667,0.998615033974771
0.0024375,0.9992495751231831
0.002458333333333333,0.9996824890719247
0.0024791666666666664,0.999906795259616
0.0025,0.9999709113376787
0.0025208333333333333,0.9999068037843004
0.0025416666666666665,0.999682526677897
0.0025625,0.9992496032375828
0.0025833333333333333,0.9986149866767666
0.0026041666666666665,0.9978308447330642
0.0026249999999999997,0.9969173405301043
0.0026458333333333334,0.9958329689667248
0.0026666666666666666,0.9945363896130676
0.0026875,0.9930479695830385
0.0027083333333333334,0.9914198121665893
0.0027291666666666666,0.9896588692816183
0.00275,0.9877171769064671
0.002770833333333333,0.9855635021024972
0.0027916666666666667,0.9832300280624816
0.0028125,0.9807650186727125
0.002833333333333333,0.9781619029510445
0.0028541666666666667,0.9753698665696934
0.002875,0.9723699137272371
0.002895833333333333,0.969203515991408
0.0029166666666666664,0.9659116969049351
0.0029375,0.9624751655141129
0.002958333333333333,0.9588440491551633
0.0029791666666666664,0.9550126971731577
0.003,0.9510286469952183
0.0030208333333333333,0.9469229517742938
0.0030416666666666665,0.9426654310212026
0.0030624999999999997,0.9382107892859767
0.0030833333333333333,0.9335667254924633
0.0031041666666666665,0.9287832240976207
0.0031249999999999997,0.9238795388881794
0.0031458333333333334,0.9188172742550412
0.0031666666666666666,0.913558870205272
0.0031875,0.9081242998328959
0.0032083333333333334,0.902562311444794
0.0032291666666666666,0.8968795727511402
0.00325,0.891032730416496
0.003270833333333333,0.8849943704708547
0.0032916666666666667,0.8787947110373219
