Frequency (Hz),Magnitude
0.0,7.315654847006396e-13
1.0,1.0937476296418853e-12
2.0,4.275250331565483e-13
3.0,1.7138585841701244e-12
4.0,3.1124189667124362e-12
5.0,1.025831509193915e-12
6.0,1.3498182660862445e-13
7.0,7.465501045086932e-13
8.0,7.85093388832033e-13
9.0,4.781433319160935e-12
10.0,476.9123117980391
11.0,2.28132499486296e-12
12.0,3.3998357595790877e-12
13.0,1.4696905751990534e-12
14.0,1.176201992782398e-12
15.0,1.9853155606731843e-12
16.0,4.7144473305061544e-12
17.0,2.4565240121920336e-12
18.0,1.0917319990496838e-12
19.0,1.4483364051774042e-12
20.0,935.4892837886405
21.0,7.309105308895855e-12
22.0,4.0252246232594245e-12
23.0,4.03950852731173e-12
24.0,1.926323624272794e-12
25.0,3.0566907355426406e-13
26.0,3.976008421470701e-12
27.0,1.3496060239767407e-12
28.0,3.724731411858102e-12
29.0,4.988636241495441e-12
30.0,1358.3372698034732
31.0,4.847898582349938e-12
32.0,1.0679420714423093e-12
33.0,3.4249664252077e-12
34.0,3.982656092819837e-12
35.0,1.191851741439748e-12
36.0,2.5941540932771798e-12
37.0,1.7085550531989878e-12
38.0,2.10648727750711e-12
39.0,1.7642650259617769e-12
40.0,1729.8896654643568
41.0,5.082594403150286e-12
42.0,4.461325249992622e-12
43.0,3.836865264695191e-12
44.0,3.276384679283392e-12
45.0,1.6688115848530608e-12
46.0,1.3398028255525258e-12
47.0,2.8077968172208833e-12
48.0,2.0831325593750596e-12
49.0,8.846713680548195e-12
50.0,2037.1832715762598
51.0,7.352023173548203e-12
52.0,3.866412256616231e-12
53.0,2.1968225619138183e-12
54.0,3.452423329593973e-12
55.0,2.2999137229168593e-12
56.0,2.0172876255215677e-12
57.0,1.3852061681735766e-12
58.0,1.5577911771794293e-12
59.0,4.1777971704599225e-12
60.0,2270.4801859219724
61.0,7.35282206495291e-12
62.0,3.105833800357505e-12
63.0,3.888289872942746e-12
64.0,2.6405686245920262e-12
65.0,3.2346036687964613e-12
66.0,3.2861294566599324e-12
67.0,3.764397435403605e-12
68.0,4.298014348380658e-12
69.0,8.78262292814961e-13
70.0,2423.6998343552164
71.0,6.9114088523927064e-12
72.0,2.4677371296291104e-12
73.0,4.1317343850427206e-12
74.0,2.0545475857390017e-12
75.0,3.3912179583782537e-12
76.0,5.859320848597253e-13
77.0,6.637571247417693e-12
78.0,5.857375523999084e-12
79.0,5.838400580853661e-12
80.0,2494.638090103036
81.0,6.172030313154247e-12
82.0,8.424943391526125e-12
83.0,2.8368018785382235e-12
84.0,4.559297153727853e-12
85.0,2.1125976832034765e-12
86.0,5.561587022676793e-12
87.0,6.896883289256048e-12
88.0,9.92048884453217e-12
89.0,1.0497878702643064e-11
90.0,2484.964150947699
91.0,5.846596804038016e-12
92.0,7.183320080213471e-12
93.0,7.937237840964154e-12
94.0,1.0755988195022393e-11
95.0,1.3496258694336426e-11
96.0,1.6247340464978845e-11
97.0,1.960418300096638e-11
98.0,3.0884876623140654e-11
99.0,6.05787816841741e-11
100.0,21599.999999999993
101.0,5.490288277152921e-11
102.0,2.596309768972421e-11
103.0,1.9335352586448885e-11
104.0,1.401553024674044e-11
105.0,1.0045544679743522e-11
106.0,8.783687905529052e-12
107.0,4.7091538216849664e-12
108.0,3.70687255198545e-12
109.0,3.972978168180857e-12
110.0,2248.300898476503
111.0,1.4855488737927764e-11
112.0,1.074316363720435e-11
113.0,6.163929325483393e-12
114.0,5.612899449702289e-12
115.0,8.174322003899084e-12
116.0,5.719174413297549e-12
117.0,9.976685677448026e-12
118.0,2.7669245753305066e-12
119.0,6.608078917624453e-12
120.0,2041.0675282661177
121.0,6.0956439409199345e-12
122.0,4.710565894565829e-12
123.0,2.0721368976379033e-12
124.0,3.4149724174453737e-12
125.0,5.275303029227155e-12
126.0,2.1145945911055167e-12
127.0,3.503788131220096e-12
128.0,3.2751935912990317e-12
129.0,7.73909955393981e-12
130.0,1791.4303123495097
131.0,8.226207303343548e-12
132.0,3.5790013666754623e-12
133.0,3.5941618722951557e-12
134.0,1.5686659456828688e-12
135.0,4.933582999252026e-12
136.0,7.865213375630659e-12
137.0,2.129654897996386e-12
138.0,3.0636789238870627e-12
139.0,2.2137396410744167e-12
140.0,1513.6534572813107
141.0,1.1045704768331044e-12
142.0,3.2845601765185675e-12
143.0,1.8836261737211184e-13
144.0,3.770278581760802e-12
145.0,2.9785147378973136e-12
146.0,5.43519722239803e-13
147.0,1.904131943391357e-12
148.0,3.0298145841752907e-12
149.0,7.2321688824951785e-12
150.0,1222.3099629457606
151.0,1.1402019952853014e-11
152.0,1.2665753345720267e-11
153.0,7.996674552616155e-12
154.0,7.1819932299572514e-12
155.0,6.84173539833593e-12
156.0,4.860794202195121e-12
157.0,5.158978904146544e-12
158.0,9.08008387626066e-12
159.0,1.553500568312754e-11
160.0,931.4790506346504
161.0,1.4557068645149612e-11
162.0,6.393661670727083e-12
163.0,3.4081983205877506e-12
164.0,8.870112658045202e-13
165.0,3.867130516961909e-12
166.0,3.78753947274877e-12
167.0,6.062143509972471e-12
168.0,2.96822190550797e-12
169.0,3.2791467504689362e-12
170.0,654.0142410164888
171.0,4.476116386580097e-12
172.0,3.781587850315782e-12
173.0,3.306258047818079e-13
174.0,7.839434794237246e-13
175.0,2.6292970606508507e-12
176.0,2.9550188807296816e-12
177.0,2.96730918729486e-12
178.0,2.2236930632927882e-13
179.0,3.2087783022125726e-12
180.0,400.9239787665581
181.0,4.152837660200209e-12
182.0,3.3319411175677175e-12
183.0,4.912097532232112e-13
184.0,2.639361500687435e-12
185.0,2.543644557776128e-12
186.0,3.876819974430164e-12
187.0,1.914176235460516e-12
188.0,6.671596589777967e-13
189.0,3.4789492508837716e-12
190.0,180.89777344063296
191.0,8.954431699719125e-12
192.0,3.4265511150034185e-12
193.0,5.466181550360076e-12
194.0,1.3924363192685875e-12
195.0,2.710225750172047e-12
196.0,2.0292607269839957e-12
197.0,4.217505690266001e-12
198.0,4.0261354529518036e-12
199.0,1.0380839761043716e-12
200.0,1.1341181263998816e-12
201.0,1.439334238171186e-12
202.0,4.49221414204175e-12
203.0,4.542197896011274e-12
204.0,1.073537432403023e-12
205.0,3.0656444395311303e-12
206.0,1.840008505186283e-12
