Frequency (Hz),Magnitude (db)
0.0,-321.9202966143317
1.0,-320.27058836879996
2.0,-323.5974003670927
3.0,-318.0173307557683
4.0,-314.4071279535546
5.0,-320.55700858822206
6.0,-325.5892968702645
7.0,-321.84545404175867
8.0,-321.65585619171844
9.0,-311.4483646025879
10.0,-33.12030433961982
11.0,-316.3680900892647
12.0,-313.8203457207485
13.0,-318.83622413516554
14.0,-319.93509094992766
15.0,-317.18927012935154
16.0,-311.5495903386039
17.0,-315.916283458269
18.0,-320.27895421825167
19.0,-318.91165321699043
20.0,-27.26829868428021
21.0,-308.2979897587156
22.0,-312.66596544062367
23.0,-312.6413113349181
24.0,-317.3626279552168
25.0,-324.3724126747562
26.0,-312.75145288922204
27.0,-319.2691740836013
28.0,-313.2015325213019
29.0,-311.14251633892366
30.0,-24.02892268409147
31.0,-311.34907837845384
32.0,-320.37830764604394
33.0,-313.7708754269851
34.0,-312.73985676643224
35.0,-319.87285152724814
36.0,-315.5771411667505
37.0,-318.0343216762245
38.0,-316.8436834366725
39.0,-317.85748144293365
40.0,-21.92870693972693
41.0,-311.007297863073
42.0,-311.9431141875257
43.0,-312.99779522527797
44.0,-314.0675397238283
45.0,-318.16271673982766
46.0,-319.3054898011618
47.0,-315.07559969260393
48.0,-316.9092310703795
49.0,-306.82324882635515
50.0,-20.508472997223546
51.0,-308.2532412099264
52.0,-312.9448970774866
53.0,-316.5947043902985
54.0,-313.7171460294133
55.0,-316.31902331728475
56.0,-317.09674079019896
57.0,-319.1385565476941
58.0,-318.53177332337657
59.0,-312.4061743462147
60.0,-19.566720698167025
61.0,-308.2524104231121
62.0,-314.42104771048344
63.0,-312.9059359945038
64.0,-315.4656905850054
65.0,-314.15281963409643
66.0,-314.04776933956043
67.0,-313.12891537904824
68.0,-312.2068124201473
69.0,-321.2139502253531
70.0,-18.999498359628326
71.0,-308.7239984445001
72.0,-315.888151652232
73.0,-312.4837916328562
74.0,-316.9901371181374
75.0,-313.83737514555514
76.0,-322.6833833154953
77.0,-309.0299695309268
78.0,-309.96591636349086
79.0,-309.9899842755597
80.0,-18.748924038834613
81.0,-309.5762326935375
82.0,-307.20350001484485
83.0,-315.0096875419403
84.0,-311.7886772545151
85.0,-316.8266152258549
86.0,-310.3488971628429
87.0,-308.73996063354787
88.0,-305.9242334319611
89.0,-305.4767205684957
90.0,-18.782672466725337
91.0,-309.97957996249505
92.0,-308.43048425526626
93.0,-307.6650087092526
