Frequency (Hz),Magnitude (db)
0.0,-323.42752523125273
1.0,-53.20673181527265
2.0,-47.61939897257711
3.0,-44.840274017098
4.0,-43.42921266525611
5.0,-42.98550581656521
6.0,-43.411795595778635
7.0,-44.80542936245254
8.0,-47.56710568013864
9.0,-53.136958252902495
10.0,-314.7247941837487
11.0,-53.10186015629977
12.0,-47.49688791989538
13.0,-44.700048759710526
14.0,-43.27118727009012
15.0,-42.80958305074748
16.0,-43.217866724265264
17.0,-44.5933739201144
18.0,-47.3367912172855
19.0,-52.88824005309212
20.0,-314.28177961437825
21.0,-52.815849679806504
22.0,-47.191962690793204
23.0,-44.376011569907035
24.0,-42.927826767349885
25.0,-42.446673257384724
26.0,-42.835166515459974
27.0,-44.190626459197844
28.0,-46.91372334507147
29.0,-52.44456162803483
30.0,-315.07791345534554
31.0,-52.330008175528775
32.0,-46.68453090173047
33.0,-43.84662371102786
34.0,-42.376095896622765
35.0,-41.87219023214675
36.0,-42.23749886557126
37.0,-43.56931716986939
38.0,-46.26828954147857
39.0,-51.774493152965206
40.0,-314.25398738922377
41.0,-51.60902293361985
42.0,-45.937200782408034
43.0,-43.07231270042051
44.0,-41.5741316005183
45.0,-41.04186156397388
46.0,-41.378053530637395
47.0,-42.6799589246488
48.0,-45.348175204084065
49.0,-50.8227293378726
50.0,-319.64611276460573
51.0,-50.591060994102506
52.0,-44.884570529896024
53.0,-41.983880612735845
54.0,-40.448692268849925
55.0,-39.87813196830228
56.0,-40.17466671530231
57.0,-41.43545699744591
58.0,-44.06100157053511
59.0,-49.491220068472444
60.0,-319.69057786235976
61.0,-49.165410108835914
62.0,-43.40884624667748
63.0,-40.4558814070887
64.0,-38.86604819478886
65.0,-38.238287500673074
66.0,-38.474861320135616
67.0,-39.67270305817904
68.0,-42.23205922440391
69.0,-47.592568416628104
70.0,-310.3449949716707
71.0,-47.115482613490265
72.0,-41.276603588484136
73.0,-38.236292183425256
74.0,-36.55357314355757
75.0,-35.826808876556214
76.0,-35.957599409004445
77.0,-37.042116885257514
78.0,-39.47972768611086
79.0,-44.70904696194532
80.0,-312.5815369482604
81.0,-43.93624396410892
82.0,-37.92975188525641
83.0,-34.706095059843605
84.0,-32.82187733179849
85.0,-31.87250747856341
86.0,-31.755940816412345
87.0,-32.56379401453642
88.0,-34.68965592971499
89.0,-39.564690234298034
90.0,-306.917539674756
91.0,-37.91311798141001
92.0,-31.35069833739864
93.0,-27.461201818110123
94.0,-24.762180824766617
95.0,-22.787340043360288
96.0,-21.3294424721781
97.0,-20.279844455294786
98.0,-19.57677774199915
99.0,-19.18466197586274
100.0,0.0
101.0,-19.271521596078667
102.0,-19.750501325700924
103.0,-20.54044069032702
104.0,-21.67692439356644
105.0,-23.22172503722502
106.0,-25.283490633545306
107.0,-28.069462547093217
108.0,-32.04594046258302
109.0,-38.69537635867627
110.0,-309.9993018213276
111.0,-40.52110325678717
112.0,-35.73321616301622
113.0,-33.69455395258101
114.0,-32.9739573990378
115.0,-33.177842108815256
116.0,-34.214595894626505
117.0,-36.18626794220571
118.0,-39.49745399764713
119.0,-45.59155476352704
120.0,-321.8174455005667
121.0,-46.53983181604972
122.0,-41.39838712894563
123.0,-39.04874881898445
