Frequency (Hz),Magnitude
0.0,900.0
1.0,98.3633261094528
2.0,93.54954390897576
3.0,85.84063994750659
4.0,75.68466478887322
5.0,63.664595306000564
6.0,50.45810319873248
7.0,36.79126642664018
8.0,23.389694385275718
9.0,10.93069682281296
10.0,3.237235917884648e-15
11.0,8.943885904337062
12.0,15.595181839257824
13.0,19.814593060422883
14.0,21.63059400039699
15.0,21.228515095816817
16.0,18.928638117694437
17.0,15.155327567018045
18.0,10.399867188336518
19.0,5.180084143640803
20.0,2.0793827541742506e-15
21.0,4.687359750651889
22.0,8.511222609780496
23.0,11.206188197059902
24.0,12.62573807065909
25.0,12.745494843182376
26.0,11.656445490676077
27.0,9.549154497592308
28.0,6.690691480257374
29.0,3.3965300264931826
30.0,2.7613223896399375e-15
31.0,3.1780266845928136
32.0,5.8566680846761
33.0,7.817575370663908
34.0,8.920797479029405
35.0,9.112920016149843
36.0,8.427139655069944
37.0,6.975646801602199
38.0,4.935342302236752
39.0,2.5284537230614523
40.0,0.0
41.0,2.405748269128709
42.0,4.467663251262344
43.0,6.007046863378158
44.0,6.902202699258728
45.0,7.097170026469225
46.0,6.6040646362717785
47.0,5.499068639538956
48.0,3.9126839557273376
49.0,2.0153617352212003
50.0,7.448803122769905e-16
51.0,1.936966123943726
52.0,3.614089384724251
53.0,4.88135585996516
54.0,5.633104968706609
55.0,5.816351032924946
56.0,5.433892664563136
57.0,4.542097386332636
58.0,3.243744793360681
59.0,1.6767569331879788
60.0,9.790848313649525e-16
61.0,1.6224231987744848
62.0,3.0368735094534958
63.0,4.114398293497681
64.0,4.7621882183627005
65.0,4.931275394949861
66.0,4.619860410679386
67.0,3.8720824498690773
68.0,2.772478963128052
69.0,1.4367788773910863
70.0,1.3852804757911557e-15
71.0,1.3969515783853443
72.0,2.620873313151771
73.0,3.558758932747921
74.0,4.128038903583019
75.0,4.283657569731185
76.0,4.021397672987793
77.0,3.3772322879257386
78.0,2.422865276057586
79.0,1.2579780749935188
80.0,0.0
81.0,1.227565619047176
82.0,2.3071145663059713
83.0,3.138067531653566
84.0,3.6461088184261516
85.0,3.78970114655978
86.0,3.563317451162022
87.0,2.9971552111345856
88.0,2.1534386674285546
89.0,1.119736806779889
90.0,8.533315698578084e-16
91.0,1.0957793923372312
92.0,2.062265010437287
93.0,2.808802628680813
94.0,3.267829310218796
95.0,3.400894075361803
96.0,3.201762228863254
97.0,2.696364641989917
98.0,1.9396595419561773
99.0,1.009768242388396
100.0,1.316538186964629e-15
