Frequency (Hz),Magnitude (db)
0.0,-318.23881608339644
1.0,-59.140904252899034
2.0,-53.4679954506182
3.0,-50.60412943627405
4.0,-49.10914579256022
5.0,-48.58231974844622
6.0,-48.9262782037628
7.0,-50.238353722027675
8.0,-52.9192304836793
9.0,-58.40902820736929
10.0,-315.50068353617195
11.0,-58.216000493846174
12.0,-52.53312737977155
13.0,-49.65907980332169
14.0,-48.15369015664019
15.0,-47.61622615695493
16.0,-47.949306853006576
17.0,-49.25025659847046
18.0,-51.91975098444254
19.0,-57.39790073852221
20.0,-314.4895246789364
21.0,-57.18074218675643
22.0,-51.485365990578124
23.0,-48.59850925439878
24.0,-47.07999297738461
25.0,-46.52907291050313
26.0,-46.84835552638837
27.0,-48.135151953358275
28.0,-50.790123865393475
29.0,-56.253367335328946
30.0,-324.33259079249433
31.0,-56.00518217569338
32.0,-50.29365219089306
33.0,-47.39019080496562
34.0,-45.8545998426062
35.0,-45.28611477552624
36.0,-45.58732061144663
37.0,-46.85550574002075
38.0,-49.49130772673358
39.0,-54.93479706116296
40.0,-317.3821321245628
41.0,-54.645240593791456
42.0,-48.912033808027
43.0,-45.986191864398876
44.0,-44.42748167189292
45.0,-43.835101432553955
46.0,-44.111596328228245
47.0,-45.35421214296505
48.0,-47.963540809464426
49.0,-53.37960388290655
50.0,-313.51491425482277
51.0,-53.032121961518484
52.0,-47.268298684280204
53.0,-44.310651909663356
54.0,-42.71887776540034
55.0,-42.092097918176
56.0,-42.33277466149265
57.0,-43.53806386254093
58.0,-46.108459744726545
59.0,-51.48387749534265
60.0,-318.8683344875577
61.0,-51.04949250147837
62.0,-45.239145869104476
63.0,-42.23272923228903
64.0,-40.58977114711459
65.0,-39.909208529674665
66.0,-40.09329947261405
67.0,-41.238973548506976
68.0,-43.746473503166484
69.0,-49.055434237633875
70.0,-313.2661916425139
71.0,-48.476160318927285
72.0,-42.58663456361284
73.0,-39.49597003412888
74.0,-37.76318809118522
75.0,-36.986647816109894
76.0,-37.06794596600105
77.0,-38.10325147130107
78.0,-40.49192755321261
79.0,-45.67258625562679
80.0,-313.50281316786646
81.0,-44.803272380004884
82.0,-38.74892403883457
83.0,-35.47767317851463
84.0,-33.5461207848874
85.0,-32.54967282378275
86.0,-32.38628184533363
87.0,-33.14756179708604
88.0,-35.22709885772107
89.0,-40.05605406411273
90.0,-308.0567426913471
91.0,-38.31305054973504
92.0,-31.705273676607312
93.0,-27.770655551234277
94.0,-25.026746139441713
95.0,-23.00724772938954
96.0,-21.504920958328213
97.0,-20.411119845342547
98.0,-19.664073850048144
99.0,-19.228200360948225
100.0,0.0
101.0,-19.22820036094851
102.0,-19.664073850048073
103.0,-20.41111984534238
104.0,-21.504920958328096
105.0,-23.007247729389555
106.0,-25.02674613944185
107.0,-27.770655551234462
108.0,-31.70527367660742
109.0,-38.31305054973481
110.0,-310.6792220048456
111.0,-40.056054064112956
112.0,-35.227098857720904
113.0,-33.14756179708584
114.0,-32.386281845333585
115.0,-32.549672823782785
116.0,-33.54612078488746
117.0,-35.477673178514785
118.0,-38.74892403883471
119.0,-44.80327238000469
120.0,-317.0985198345814
121.0,-45.672586255627024
122.0,-40.49192755321254
123.0,-38.10325147130093
124.0,-37.06794596600091
125.0,-36.98664781610989
126.0,-37.76318809118534
127.0,-39.49597003412904
128.0,-42.58663456361299
129.0,-48.47616031892706
130.0,-324.26115194963637
131.0,-49.05543423763405
132.0,-43.74647350316641
133.0,-41.2389735485068
134.0,-40.09329947261392
135.0,-39.90920852967464
136.0,-40.58977114711474
137.0,-42.23272923228915
138.0,-45.23914586910461
139.0,-51.04949250147825
140.0,-317.9606585415431
141.0,-51.48387749534288
142.0,-46.10845974472642
143.0,-43.538063862540845
144.0,-42.33277466149252
145.0,-42.09209791817599
146.0,-42.718877765400485
147.0,-44.31065190966351
148.0,-47.26829868428031
149.0,-53.03212196151839
150.0,-317.5393054061661
151.0,-53.37960388290708
152.0,-47.96354080946432
153.0,-45.354212142964826
154.0,-44.11159632822808
155.0,-43.835101432554
156.0,-44.427481671893105
157.0,-45.98619186439898
158.0,-48.91203380802697
159.0,-54.64524059379147
160.0,-322.4016537141426
161.0,-54.93479706116334
162.0,-49.49130772673349
163.0,-46.85550574002058
164.0,-45.58732061144653
165.0,-45.2861147755262
166.0,-45.85459984260629
167.0,-47.390190804965826
168.0,-50.293652190893184
169.0,-56.005182175693236
170.0,-318.44813659323825
171.0,-56.25336733532918
172.0,-50.79012386539343
173.0,-48.13515195335815
174.0,-46.84835552638817
175.0,-46.52907291050312
176.0,-47.07999297738486
177.0,-48.59850925439878
178.0,-51.4853659905784
179.0,-57.18074218675622
180.0,-322.6719743405724
181.0,-57.39790073852174
182.0,-51.919750984442686
183.0,-49.2502565984703
184.0,-47.94930685300643
185.0,-47.616226156954994
186.0,-48.153690156640195
187.0,-49.659079803321724
188.0,-52.53312737977176
189.0,-58.216000493846
190.0,-317.24510136149684
191.0,-58.409028207369396
192.0,-52.919230483679264
193.0,-50.23835372202754
194.0,-48.92627820376282
195.0,-48.58231974844598
196.0,-49.109145792560426
197.0,-50.604129436274235
198.0,-53.46799545061827
199.0,-59.1409042528986
200.0,-320.9528773567183
201.0,-318.9363457701562
202.0,-318.99940926881675
203.0,-320.4876958614717
204.0,-325.6061154986276
205.0,-323.4069048668631
206.0,-319.871492844232
207.0,-321.0254059774892
208.0,-320.8462219796135
209.0,-322.14343421902583
210.0,-319.58980087249404
211.0,-321.8881331468118
212.0,-323.2967131012839
213.0,-321.5175110900051
214.0,-320.2102220745909
215.0,-319.7818110818626
216.0,-320.56775391992926
217.0,-318.5328133422033
218.0,-322.18370114067704
219.0,-322.93289681310546
220.0,-318.0981382910522
221.0,-322.0526046198961
222.0,-319.78336060918434
223.0,-320.329399974887
224.0,-321.76558824662783
225.0,-322.64334284065006
226.0,-319.69415384693457
227.0,-319.3777337982168
228.0,-317.04356776534564
229.0,-320.7944377631572
230.0,-321.5388014100587
231.0,-319.6151340052608
232.0,-314.0659641910548
233.0,-312.3085181557069
234.0,-311.68124838265146
235.0,-311.47654986529074
236.0,-311.8106234364526
237.0,-312.65320599782655
238.0,-315.1628416970113
239.0,-318.139476331356
240.0,-321.4975242073473
241.0,-321.46841441808766
242.0,-322.0253830137722
243.0,-320.11802856816917
244.0,-322.9224128511475
245.0,-323.6872818187723
246.0,-319.83581354006174
247.0,-321.40624291753704
248.0,-323.52514076476757
249.0,-314.9821512946707
250.0,-313.4300686984243
251.0,-317.55587653037196
252.0,-321.22298915844107
253.0,-322.52207996587737
254.0,-321.9379089160074
255.0,-319.5987781623039
256.0,-318.48199184144823
257.0,-315.8666180406302
258.0,-323.2226807913176
259.0,-318.2531991068376
260.0,-320.04073078517024
261.0,-321.162394475028
262.0,-325.33970375473086
263.0,-320.5920453289712
264.0,-318.61090682332804
265.0,-323.1108379095492
266.0,-317.75870245732557
267.0,-320.75266164143306
268.0,-318.1156239045789
269.0,-316.42458948142007
270.0,-317.36037802868873
271.0,-321.0929314803707
272.0,-320.9109429740568
273.0,-314.15012997016044
274.0,-316.19293174397745
275.0,-318.9564939191305
276.0,-320.17866425831323
277.0,-317.2666211580708
278.0,-323.45606788031324
279.0,-317.9533684210289
280.0,-325.1209786359869
281.0,-319.37794340408084
282.0,-316.32067691359134
283.0,-312.50328739056715
284.0,-310.8395354293929
285.0,-310.5959255393822
286.0,-310.09563730629293
287.0,-311.536353226175
288.0,-312.68199205371343
289.0,-317.4531647576931
290.0,-317.72050890986986
291.0,-321.8475080084557
292.0,-324.22085325272974
293.0,-325.0219682122581
