Frequency (Hz),Magnitude
0.0,1.3270495813344496e-12
1.0,9.442901545207006
2.0,17.961681635643107
3.0,24.722628325043303
4.0,29.064006476218367
5.0,30.560805154161564
6.0,29.06633193160637
7.0,24.726584721020192
8.0,17.96599354309029
9.0,9.445924253060506
10.0,7.304369740652505e-13
11.0,9.447436332783983
12.0,17.971745974418056
13.0,24.7384615104104
14.0,29.084948979802984
15.0,30.58527582188804
16.0,29.09193652279966
17.0,24.750349714694526
18.0,17.984702423081135
19.0,9.45651898701593
20.0,3.1240907589914935e-12
21.0,9.459550420538372
22.0,17.996234959621756
23.0,24.77416043390212
24.0,29.129260195292005
25.0,30.634334910924455
26.0,29.140943490999557
27.0,24.794037724426158
28.0,18.01789837805894
29.0,9.474736788154857
30.0,4.240663686653337e-12
31.0,9.479302211299384
32.0,18.035266701149837
33.0,24.829897343256185
34.0,29.197154019991256
35.0,30.70821934845231
36.0,29.213589628434125
37.0,24.857859951515387
38.0,18.06574197438503
39.0,9.500665824475698
40.0,3.1153896014293e-12
41.0,9.506787412155091
42.0,18.089030447581013
43.0,24.905942662353947
44.0,29.28896008671269
45.0,30.80728810731405
46.0,29.3102281508709
47.0,24.942126944099517
48.0,18.12846619317742
49.0,9.534432462975351
50.0,3.6384062371589345e-12
51.0,9.542140200240672
52.0,18.157788893409368
53.0,25.002668291343877
54.0,29.40512779034732
55.0,30.932026595453983
56.0,29.43133302121757
57.0,25.047252402648617
58.0,18.20637928844643
59.0,9.576202821685538
60.0,2.580034397741647e-12
61.0,9.585534874670016
62.0,18.241881417411044
63.0,25.120552197104864
64.0,29.546231842311247
65.0,31.083052663657813
66.0,29.57750482384851
67.0,25.173758314719073
68.0,18.299868618709464
69.0,9.62618483764983
70.0,2.0765339812374626e-12
71.0,9.63718803309915
72.0,18.341728327333108
73.0,25.260184401115275
74.0,29.7129794823856
75.0,31.261124372012837
76.0,29.749478327069156
77.0,25.322281539413762
78.0,18.409405542010692
79.0,9.684630899371244
80.0,1.9008729077442598e-12
81.0,9.697361324194791
82.0,18.457836211487617
83.0,25.42227450673118
84.0,29.906219519520615
85.0,31.46714969997449
86.0,29.94813191435533
87.0,25.49358199902755
88.0,18.535551491753655
89.0,9.751841107237675
90.0,1.0528278699758857e-11
91.0,9.766364842653704
92.0,18.590804526798774
93.0,25.607660948594543
94.0,30.126953421530818
95.0,31.702198437230415
96.0,30.174499115182076
97.0,25.688552679049785
98.0,18.678965382890027
99.0,9.828167242161284
100.0,2.730028920507714e-12
101.0,9.844561250868187
102.0,18.741333587327453
103.0,25.81732219510088
104.0,30.37634873131413
105.0,31.967516553659678
106.0,30.429782525632024
107.0,25.9082316888451
108.0,18.840412536020427
109.0,9.914017543324835
110.0,4.1842809875466535e-12
111.0,9.932370732803353
112.0,18.910234157844094
113.0,26.052390191863655
114.0,30.65575515582033
115.0,32.26454342059449
116.0,30.715370480545257
117.0,26.153816697512585
118.0,19.02077535279079
119.0,10.00986242054374
120.0,1.0024648189224943e-11
121.0,10.030276910596609
122.0,19.09843890753708
123.0,26.314166404564748
124.0,30.966723757803454
125.0,32.594932345227335
126.0,31.032856926028657
127.0,26.42668213505712
128.0,19.22106603219392
129.0,10.116241256631346
130.0,3.68203754725839e-11
131.0,10.138833886959585
132.0,19.307016038560953
133.0,26.60414090425491
134.0,31.311029782925026
135.0,32.96057499044956
136.0,31.384065048326878
137.0,26.728399641948585
138.0,19.44244168666092
139.0,10.233770492333852
140.0,2.07021187228739e-12
141.0,10.258674613571642
142.0,19.537185480885828
143.0,26.9240150450499
144.0,31.690699782572576
145.0,33.363630389387744
146.0,31.771075348296804
147.0,27.0607623663178
148.0,19.686222301950682
149.0,10.363153233335611
150.0,6.748395655880894e-12
151.0,10.390520835922276
152.0,19.79033813811576
153.0,27.27572841642643
154.0,32.108043851757074
155.0,33.806559435384465
156.0,32.19625901761124
157.0,27.42581385307773
158.0,19.953912094889365
159.0,10.505190675469192
160.0,7.307085160651863e-12
161.0,10.535194924119551
162.0,20.068058788078872
163.0,27.66149091936303
164.0,32.565694003480274
165.0,34.29216594505717
166.0,32.6623176842197
167.0,27.825882453399604
168.0,20.247224957554828
169.0,10.660795719811071
170.0,3.2572483877753606e-12
171.0,10.693633978233695
172.0,20.372153392605743
173.0,28.083821028692796
174.0,33.06664995608304
175.0,34.82364566797277
176.0,33.172330863052856
177.0,28.26362241726401
178.0,20.568114852712604
179.0,10.8310092421135
180.0,1.5672605355925211e-12
181.0,10.866906694472037
182.0,20.70468176370739
183.0,28.545591575513697
184.0,33.61433393918793
185.0,35.40464497003851
186.0,33.729812793399965
187.0,28.74206313324586
188.0,20.91881224930129
189.0,11.017019602479898
190.0,7.019597491018026e-12
191.0,11.056233606382484
192.0,21.067996782257524
193.0,29.050084735717334
194.0,34.212656547012266
195.0,36.039331375916
196.0,34.338780791318214
197.0,29.264668369418878
198.0,21.301867977501395
199.0,11.220186138715903
200.0,4.407933371428467e-12
201.0,11.26301148097839
202.0,21.464791689062533
203.0,29.601058367483233
204.0,34.866096221161264
205.0,36.73247875183341
206.0,35.003837828087875
207.0,29.83540787929713
208.0,21.720206263953035
209.0,11.442067591449097
210.0,4.191223589904711e-12
211.0,11.488842866665129
212.0,21.898157392056294
213.0,30.20282644177132
214.0,35.57979566977895
215.0,37.48957069518696
216.0,35.73027281330726
217.0,30.45884440767422
218.0,22.177189208520968
219.0,11.684456681135213
220.0,9.813673482898148e-13
221.0,11.735572076810298
222.0,22.371652295710543
223.0,30.860357104153586
224.0,36.359679492710384
225.0,38.31692673811423
226.0,36.52418307971739
227.0,31.14024002299906
228.0,22.676695631590054
229.0,11.949422417610414
230.0,7.172674541866661e-12
231.0,12.005329275478386
232.0,22.889387907720337
233.0,31.579392970281198
234.0,37.21259856871671
235.0,39.22185736573948
236.0,37.392624932830955
237.0,31.885686900470947
238.0,23.223218116771793
239.0,12.239362208430578
240.0,1.8254470786080354e-12
241.0,12.300584847771928
242.0,23.45613448977872
243.0,32.36659969105249
244.0,38.146508500035544
245.0,40.212855735814486
246.0,38.343799977571074
247.0,32.70226930173979
248.0,23.821983289748804
249.0,12.557066491845504
250.0,3.3836706799355798e-12
251.0,12.624216939126065
252.0,24.077452396757987
253.0,33.22975078151893
254.0,39.170691784474926
255.0,41.29983656392049
256.0,39.38728746503622
257.0,33.5982657207881
258.0,24.479102042047092
259.0,12.905799525457242
260.0,3.387540832195696e-11
261.0,12.979596013816467
262.0,24.759856647639406
263.0,34.17795940743705
264.0,40.29603666558511
265.0,42.494436203085755
266.0,40.53433640707578
267.0,34.58340324660706
268.0,25.201758722755887
269.0,13.289401220451682
270.0,4.183235686692845e-12
271.0,13.370691629425133
272.0,25.511024919248342
273.0,35.22197159420675
274.0,41.535390197747866
275.0,43.8103929371238
276.0,41.79823611785215
277.0,35.66918051840734
278.0,25.99845157475243
279.0,13.712416681089097
280.0,1.945873475039821e-12
281.0,13.802208522025563
282.0,26.340062895570526
283.0,36.374540657204115
284.0,42.90400956013574
285.0,45.2640335856082
286.0,43.1947908191853
287.0,36.86928180112713
288.0,26.879301325212424
289.0,14.180262636127937
290.0,1.6451364048238945e-12
291.0,14.279761814435016
292.0,27.25784626423444
